root_id,hemibrain_type,cell_type,cell_class,glomerulus
720575940619071005,DM1_lPN,DM1_lPN,ALPN,DM1
720575940615366055,DM4_adPN,DM4_adPN,ALPN,DM4
720575940622675494,DM4_vPN,DM4_vPN,ALPN,DM4
720575940622726271,DP1m_adPN,DP1m_adPN,ALPN,DP1m
720575940634658785,DP1m_vPN,DP1m_vPN,ALPN,DP1m
720575940625207019,DP1m_vPN,DP1m_vPN,ALPN,DP1m
720575940637628762,DM2_lPN,DM2_lPN,ALPN,DM2
720575940638624189,DM2_lPN,DM2_lPN,ALPN,DM2
720575940630549370,DM3_adPN,DM3_adPN,ALPN,DM3
720575940640835672,DM3_vPN,DM3_vPN,ALPN,DM3
720575940607687260,VM2_adPN,VM2_adPN,ALPN,VM2
720575940619280705,VM2_adPN,VM2_adPN,ALPN,VM2
720575940609460491,VA2_adPN,VA2_adPN,ALPN,VA2
720575940642492576,DM5_lPN,DM5_lPN,ALPN,DM5
720575940613864401,DM5_lPN,DM5_lPN,ALPN,DM5
