root_id,hemibrain_type,glomerulus,acv_condition
720575940619071005,DM1_lPN,DM1,normal+high
720575940615366055,DM4_adPN,DM4,normal+high
720575940622675494,DM4_vPN,DM4,normal+high
720575940622726271,DP1m_adPN,DP1m,normal+high
720575940634658785,DP1m_vPN,DP1m,normal+high
720575940625207019,DP1m_vPN,DP1m,normal+high
720575940637628762,DM2_lPN,DM2,normal+high
720575940638624189,DM2_lPN,DM2,normal+high
720575940630549370,DM3_adPN,DM3,normal+high
720575940640835672,DM3_vPN,DM3,normal+high
720575940607687260,VM2_adPN,VM2,normal+high
720575940619280705,VM2_adPN,VM2,normal+high
720575940609460491,VA2_adPN,VA2,normal+high
720575940642492576,DM5_lPN,DM5,high_only
720575940613864401,DM5_lPN,DM5,high_only
