pre,post,weight
720575940622726271,720575940634920543,47
720575940607687260,720575940607351747,41
720575940619280705,720575940629978666,41
720575940619071005,720575940606967730,40
720575940622726271,720575940621203376,40
720575940622726271,720575940613434178,40
720575940609460491,720575940644554606,40
720575940622726271,720575940633074015,40
720575940638624189,720575940617093533,39
720575940609460491,720575940631624673,39
720575940615366055,720575940623691920,39
720575940622726271,720575940637707069,39
720575940622726271,720575940624327196,39
720575940615366055,720575940624704002,38
720575940622726271,720575940627908624,38
720575940619071005,720575940619430326,37
720575940622726271,720575940604630496,37
720575940619071005,720575940621090659,36
720575940607687260,720575940618184839,36
720575940619071005,720575940637186638,36
720575940619071005,720575940622103275,36
720575940622726271,720575940603751782,36
720575940622726271,720575940614768278,35
720575940630549370,720575940627043666,35
720575940619071005,720575940617911360,35
720575940619071005,720575940617878080,35
720575940609460491,720575940626582842,35
720575940615366055,720575940620931750,35
720575940638624189,720575940608774776,35
720575940622726271,720575940616308597,35
720575940622726271,720575940635656670,34
720575940615366055,720575940620831949,34
720575940622726271,720575940646419235,34
720575940609460491,720575940624599939,34
720575940619071005,720575940608774776,34
720575940622726271,720575940627020933,34
720575940607687260,720575940629236242,34
720575940622726271,720575940632123439,34
720575940619071005,720575940621829813,34
720575940609460491,720575940636224142,34
720575940619071005,720575940629814060,33
720575940622726271,720575940613532831,33
720575940630549370,720575940636447630,33
720575940615366055,720575940617612578,33
720575940622726271,720575940611343054,33
720575940609460491,720575940619977566,33
720575940630549370,720575940627263162,32
720575940615366055,720575940625508400,32
720575940619071005,720575940614854294,32
720575940622726271,720575940637118174,32
720575940622726271,720575940625508400,32
720575940622726271,720575940615344315,32
720575940637628762,720575940619863174,32
720575940622726271,720575940635016048,32
720575940637628762,720575940617911360,32
720575940622726271,720575940608145877,32
720575940638624189,720575940618894246,32
720575940622726271,720575940630917293,32
720575940619280705,720575940617845076,32
720575940615366055,720575940605541920,32
720575940622726271,720575940625399077,32
720575940615366055,720575940608774776,32
720575940622726271,720575940626274822,31
720575940619071005,720575940621044701,31
720575940619071005,720575940614010419,31
720575940615366055,720575940644479267,31
720575940630549370,720575940629236242,31
720575940619071005,720575940631553164,31
720575940619071005,720575940614887830,31
720575940619071005,720575940633516980,31
720575940615366055,720575940635884911,31
720575940609460491,720575940620356800,31
720575940622726271,720575940646034740,30
720575940622726271,720575940621700190,30
720575940619071005,720575940631875097,30
720575940638624189,720575940622335112,30
720575940619280705,720575940637118174,30
720575940615366055,720575940604766153,30
720575940622726271,720575940637211462,30
720575940637628762,720575940629502506,30
720575940638624189,720575940621882401,30
720575940615366055,720575940620682662,30
720575940609460491,720575940630452388,30
720575940622726271,720575940627185767,30
720575940609460491,720575940632078929,30
720575940637628762,720575940629236242,29
720575940622726271,720575940634836671,29
720575940609460491,720575940619630207,29
720575940622726271,720575940622633203,29
720575940613864401,720575940625329029,29
720575940622726271,720575940639417459,29
