supervoxel_id,root_id,pos_x,pos_y,pos_z,soma_x,soma_y,soma_z,nucleus_id,flow,super_class,cell_class,cell_sub_class,supertype,cell_type,hemibrain_type,ito_lee_hemilineage,hartenstein_hemilineage,top_nt,top_nt_conf,known_nt,known_nt_source,side,nerve,vfb_id,fbbt_id,status,dimorphism,matching_notes,fru_dsx,synonyms
82614692908176497,720575940617650722,174456.0,32408.0,4306.0,174456.0,32408.0,4306.0,7336762.0,intrinsic,central,Kenyon_Cell,KCab,11862.0,KCab,KCab-s,MBp4,MBp4,dopamine,0.6617011730747286,"acetylcholine; sNPF; acetylcholine, sNPF","Barnstedt et al. 2016 (immuno, RNAi); Johard et al. (immuno); Aso et al. 2019 (scRNA-seq)",right,,fw000069,FBbt_00100248,,isomorphic,,,
81559848873355834,720575940624574922,159548.0,43586.0,3976.0,171624.0,33112.0,4479.0,7067271.0,intrinsic,central,Kenyon_Cell,,17488.0,KCapbp-ap1,KCa'b'-ap1,MBp4,MBp4,dopamine,0.5407407798326527,acetylcholine; acetylcholine,Barnstedt et al. 2016 (immuno); Aso et al. 2019 (scRNA-seq),right,,fw000184,FBbt:00049836,,isomorphic,,,
81559848940227491,720575940636135543,159091.0,42943.0,4293.0,172040.0,32424.0,4390.0,7067387.0,intrinsic,central,Kenyon_Cell,KCg,14292.0,KCg-m,KCg-m,MBp4,MBp4,dopamine,0.7931421285757977,"acetylcholine; sNPF; acetylcholine, sNPF","Barnstedt et al. 2016 (immuno); Johard et al., 2008 (immuno); Aso et al. 2019 (scRNA-seq)",right,,fw000188,FBbt_00111061,,isomorphic,,,
81489480196052507,720575940622697196,158578.0,43132.0,4294.0,155736.0,30936.0,4136.0,6310845.0,intrinsic,central,Kenyon_Cell,KCg,14292.0,KCg-m,KCg-m,MBp3,MBp3,dopamine,0.7461013960911911,"acetylcholine; sNPF; acetylcholine, sNPF","Barnstedt et al. 2016 (immuno); Johard et al., 2008 (immuno); Aso et al. 2019 (scRNA-seq)",right,,fw000354,FBbt_00111061,,isomorphic,,,
81418011873536503,720575940638925877,157488.0,26504.0,4061.0,157488.0,26504.0,4061.0,6692568.0,intrinsic,central,Kenyon_Cell,KCg,14292.0,KCg-m,KCg-m,MBp3,MBp3,dopamine,0.8008299381827415,"acetylcholine; sNPF; acetylcholine, sNPF","Barnstedt et al. 2016 (immuno); Johard et al., 2008 (immuno); Aso et al. 2019 (scRNA-seq)",right,,fw000356,FBbt_00111061,,isomorphic,,,
81489480196062345,720575940612754582,158534.0,43228.0,4294.0,155392.0,31016.0,4436.0,6320026.0,intrinsic,central,Kenyon_Cell,KCg,14292.0,KCg-m,KCg-m,MBp3,MBp3,dopamine,0.7354844786183447,"acetylcholine; sNPF; acetylcholine, sNPF","Barnstedt et al. 2016 (immuno); Johard et al., 2008 (immuno); Aso et al. 2019 (scRNA-seq)",right,,fw000358,FBbt_00111061,,isomorphic,,,
81277549396990529,720575940622857447,155400.0,31248.0,4871.0,155400.0,31248.0,4871.0,6319874.0,intrinsic,central,Kenyon_Cell,KCab,11862.0,KCab,KCab-m,MBp3,MBp3,dopamine,0.5895923107327549,"acetylcholine; sNPF; acetylcholine, sNPF","Barnstedt et al. 2016 (immuno, RNAi); Johard et al. (immuno); Aso et al. 2019 (scRNA-seq)",right,,fw000359,FBbt_00100248,,isomorphic,,,
81559299251908184,720575940633886765,159136.0,35344.0,5092.0,159136.0,35344.0,5092.0,6748486.0,intrinsic,central,Kenyon_Cell,KCab,11862.0,KCab,KCab-c,MBp3,MBp3,dopamine,0.5698757155760346,"acetylcholine; sNPF; acetylcholine, sNPF","Barnstedt et al. 2016 (immuno, RNAi); Johard et al. (immuno); Aso et al. 2019 (scRNA-seq)",right,,fw000372,FBbt_00100248,,isomorphic,,,
81700242898706798,720575940608383243,161408.0,38440.0,5081.0,161408.0,38440.0,5081.0,6748989.0,intrinsic,central,Kenyon_Cell,KCg,14292.0,KCg-m,KCg-m,MBp3,MBp3,dopamine,0.7242839267322491,"acetylcholine; sNPF; acetylcholine, sNPF","Barnstedt et al. 2016 (immuno); Johard et al., 2008 (immuno); Aso et al. 2019 (scRNA-seq)",right,,fw000385,FBbt_00111061,,isomorphic,,,
81348467897376167,720575940615764422,155650.0,39330.0,5133.0,161360.0,39352.0,5096.0,6748977.0,intrinsic,central,Kenyon_Cell,KCg,14292.0,KCg-m,KCg-m,MBp2,MBp2,dopamine,0.6468901081341628,"acetylcholine; sNPF; acetylcholine, sNPF","Barnstedt et al. 2016 (immuno); Johard et al., 2008 (immuno); Aso et al. 2019 (scRNA-seq)",right,,fw000386,FBbt_00111061,,isomorphic,,,
