supervoxel_id,root_id,pos_x,pos_y,pos_z,soma_x,soma_y,soma_z,nucleus_id,flow,super_class,cell_class,cell_sub_class,supertype,cell_type,hemibrain_type,ito_lee_hemilineage,hartenstein_hemilineage,top_nt,top_nt_conf,known_nt,known_nt_source,side,nerve,vfb_id,fbbt_id,status,dimorphism,matching_notes,fru_dsx,synonyms
80011942324010318,720575940624117245,136167.0,46241.0,1140.0,131632.0,26480.0,1878.0,4392829.0,intrinsic,central,MBON,,,MBON01,MBON01,putative_primary,putative_primary,glutamate,0.7386130312879104,glutamate; glutamate,"Aso et al., 2014 (immuno); Aso et al. 2019 (scRNA-seq)",right,,fw000040,FBbt_00100234,,isomorphic,,,
80715286101144676,720575940638526278,147009.0,41398.0,534.0,146320.0,49496.0,400.0,5715949.0,intrinsic,central,MBON,,,MBON32,MBON32,putative_primary,putative_primary,gaba,0.3586295480821546,,,right,,fw000382,FBbt_00049852,outlier_seg,isomorphic,,,
81137979670302132,720575940629585602,152935.0,48151.0,1524.0,151160.0,49456.0,484.0,6362315.0,intrinsic,central,MBON,,27954.0,MBON10,MBON10,EBa1,DALv2,gaba,0.780106104147466,gaba,"Aso et al., 2014 (immuno)",right,,fw000431,FBbt_00111008,,isomorphic,,,
81349085835581377,720575940637934308,156344.0,47824.0,941.0,156344.0,47824.0,941.0,6364053.0,intrinsic,central,MBON,,,MBON30,MBON30,putative_primary,putative_primary,glutamate,0.588777918404794,,,right,,fw000436,FBbt_00049850,,isomorphic,,,
81349223341739625,720575940630496374,156208.0,49992.0,1437.0,156208.0,49992.0,1437.0,6385841.0,intrinsic,central,MBON,,,MBON05,MBON05,putative_primary,putative_primary,glutamate,0.5672063035300218,glutamate,"Aso et al., 2014 (immuno)",right,,fw001510,FBbt_00111004,,isomorphic,,,
80223254782485510,720575940611344078,139539.0,49490.0,2004.0,149232.0,74032.0,1376.0,6423072.0,intrinsic,central,MBON,,,MBON20,MBON20,putative_primary,putative_primary,gaba,0.8947438319498442,gaba,"Aso et al., 2014 (immuno)",right,,fw001639,FBbt_00111013,,isomorphic,,,
81277549061520124,720575940634822751,154925.0,31289.0,2382.0,172480.0,32480.0,4297.0,7336388.0,intrinsic,central,MBON,,11777.0,MBON17-like,MBON17-like,DL1_dorsal,CP2_dorsal,acetylcholine,0.9469934365960518,acetylcholine; acetylcholine,"Aso et al., 2014 (immuno); Aso et al. 2019 (scRNA-seq)",right,,fw001692,,,isomorphic,,,
79588561627810154,720575940617552340,130560.0,29152.0,1116.0,130560.0,29152.0,1116.0,4391656.0,intrinsic,central,MBON,,,MBON02,MBON02,putative_primary,putative_primary,gaba,0.5145696731085269,glutamate,"Aso et al., 2014 (immuno)",right,,fw001739,FBbt_00111012,,isomorphic,,,
81489685951698728,720575940624280328,157816.0,46080.0,1105.0,157816.0,46080.0,1105.0,6814192.0,intrinsic,central,MBON,,,MBON33,MBON33,putative_primary,putative_primary,acetylcholine,0.8630539359260275,acetylcholine,"Aso et al., 2014 (immuno)",right,,fw002179,FBbt_00049853,,isomorphic,,,
80152611093049624,720575940643700640,138349.0,45338.0,1259.0,162392.0,49608.0,4673.0,6825608.0,intrinsic,central,MBON,,22870.0,MBON29,MBON29,DL2_ventral,CP3_ventral,acetylcholine,0.8030186353252795,gaba-negative,"Ito et al., 2013 (immuno, lineage based)",right,,fw004008,FBbt_00049849,,isomorphic,,,
81137979670297348,720575940615221811,152858.0,48084.0,1524.0,151856.0,49440.0,550.0,6362537.0,intrinsic,central,MBON,,27954.0,MBON10,MBON10,EBa1,DALv2,gaba,0.7935472987556551,gaba,"Aso et al., 2014 (immuno)",right,,fw004243,FBbt_00111008,,isomorphic,,,
80154466519131949,720575940614026193,138776.0,73088.0,1392.0,138776.0,73088.0,1392.0,5234734.0,intrinsic,central,MBON,,10267.0,MBON14,MBON14,FLAa2,BAmas1,acetylcholine,0.8308087856515082,acetylcholine; acetylcholine,"Aso et al., 2014 (immuno); Aso et al., 2019 (scRNA-seq)",right,,fw004378,FBbt_00100238,,isomorphic,,,
80154535238527400,720575940623001480,138608.0,74008.0,1346.0,138608.0,74008.0,1346.0,5234724.0,intrinsic,central,MBON,,13728.0,MBON12,MBON12,FLAa2,BAmas1,acetylcholine,0.8942156867525906,acetylcholine,"Aso et al., 2014 (immuno)",right,,fw006653,FBbt_00111009,,isomorphic,,,
81066305390179956,720575940608304220,152171.0,28660.0,2447.0,174536.0,40848.0,4686.0,7352139.0,intrinsic,central,MBON,,11777.0,MBON15-like,MBON15-like,DL1_dorsal,CP2_dorsal,acetylcholine,0.9471655371071904,acetylcholine,"Aso et al., 2014 (immuno)",right,,fw007058,,,isomorphic,,,
80785654845309410,720575940636992368,147453.0,40830.0,567.0,147320.0,50064.0,340.0,5743985.0,intrinsic,central,MBON,,,MBON31,MBON31,putative_primary,putative_primary,gaba,0.648634520893378,,,right,,fw007596,FBbt_00049851,,isomorphic,,,
80224766543977933,720575940639697827,139528.0,72032.0,1509.0,139528.0,72032.0,1509.0,5234881.0,intrinsic,central,MBON,,10267.0,MBON14,MBON14,FLAa2,BAmas1,acetylcholine,0.8324583510226963,acetylcholine; acetylcholine,"Aso et al., 2014 (immuno); Aso et al., 2019 (scRNA-seq)",right,,fw008721,FBbt_00100238,,isomorphic,,,
80082723452177136,720575940618249797,137376.0,52616.0,1660.0,147536.0,47448.0,4545.0,5725004.0,intrinsic,central,MBON,,,MBON27,MBON27,putative_primary,putative_primary,acetylcholine,0.9150682525036428,,,right,,fw009899,FBbt_00049847,,isomorphic,,,
80224972702135904,720575940623905719,139400.0,74848.0,1316.0,139400.0,74848.0,1316.0,5282567.0,intrinsic,central,MBON,,13728.0,MBON12,MBON12,FLAa2,BAmas1,acetylcholine,0.9010706195122312,acetylcholine,"Aso et al., 2014 (immuno)",right,,fw012037,FBbt_00111009,,isomorphic,,,
79167173863853528,720575940624590316,124132.0,41023.0,1818.0,135824.0,24688.0,1447.0,4916004.0,intrinsic,central,MBON,,,MBON03,MBON03,putative_primary,putative_primary,glutamate,0.8129670081478897,glutamate,"Aso et al., 2014 (immuno)",right,,fw016286,FBbt_00100232,,isomorphic,,,
81136880426746412,720575940612196850,153262.0,32091.0,3298.0,174880.0,38760.0,4680.0,7352310.0,intrinsic,central,MBON,,11777.0,MBON15-like,MBON15-like,DL1_dorsal,CP2_dorsal,acetylcholine,0.9409648158198586,acetylcholine,"Aso et al., 2014 (immuno)",right,,fw019648,,,isomorphic,,,
79166692827138268,720575940627144069,124323.0,33796.0,1561.0,133944.0,25200.0,1341.0,4934984.0,intrinsic,central,MBON,,25975.0,"MBON25,MBON34","MBON25,MBON34",SMPad3,DAMd1,glutamate,0.5794271800214504,,,right,,fw022888,,,isomorphic,,,
81137979602919932,720575940610647416,153096.0,48136.0,790.0,153096.0,48136.0,790.0,6362827.0,intrinsic,central,MBON,,27954.0,MBON10,MBON10,EBa1,DALv2,gaba,0.8301501063745033,gaba,"Aso et al., 2014 (immuno)",right,,fw025277,FBbt_00111008,,isomorphic,,,
81136880426744139,720575940622093436,153318.0,32118.0,3298.0,171392.0,39552.0,4688.0,7076670.0,intrinsic,central,MBON,,11777.0,MBON15,MBON15,DL1_dorsal,CP2_dorsal,acetylcholine,0.8915407123363774,acetylcholine,"Aso et al., 2014 (immuno)",right,,fw025352,FBbt_00111010,,isomorphic,,,
81137979670303492,720575940647328900,152677.0,48361.0,1524.0,157616.0,50088.0,894.0,6833438.0,intrinsic,central,MBON,,27954.0,MBON10,MBON10,EBa1,DALv2,gaba,0.8036151984188518,gaba,"Aso et al., 2014 (immuno)",right,,fw026280,FBbt_00111008,,isomorphic,,,
81067610926141558,720575940639556467,152357.0,48140.0,1524.0,154360.0,50032.0,813.0,6382811.0,intrinsic,central,MBON,,27954.0,MBON10,MBON10,EBa1,DALv2,gaba,0.8095988169031689,gaba,"Aso et al., 2014 (immuno)",right,,fw027048,FBbt_00111008,,isomorphic,,,
81700242831237167,720575940612455338,161627.0,37885.0,4322.0,170776.0,38864.0,4715.0,7076542.0,intrinsic,central,MBON,,20835.0,MBON15,MBON15,DL1_dorsal,CP2_dorsal,acetylcholine,0.8469978576524978,acetylcholine,"Aso et al., 2014 (immuno)",right,,fw027421,FBbt_00111010,,isomorphic,,,
80786135881765925,720575940617749538,147728.0,48192.0,587.0,147728.0,48192.0,587.0,5716207.0,intrinsic,central,MBON,,,MBON11,MBON11,putative_primary,putative_primary,gaba,0.8403530979925252,gaba; gaba,"Aso et al., 2014 (immuno); Aso et al., 2019 (scRNA-seq)",right,,fw028248,FBbt_00100246,,isomorphic,,,
81277549061455173,720575940617760257,155060.0,31219.0,2319.0,165168.0,31784.0,4298.0,7061773.0,intrinsic,central,MBON,,11777.0,MBON17,MBON17,DL1_dorsal,CP2_dorsal,acetylcholine,0.9324158461833972,acetylcholine; acetylcholine,"Aso et al., 2014 (immuno); Aso et al. 2019 (scRNA-seq)",right,,fw028291,FBbt_00111064,,isomorphic,,,
79518055445188833,720575940619810389,129936.0,26900.0,1523.0,132400.0,25656.0,1477.0,4933849.0,intrinsic,central,MBON,,25975.0,"MBON25,MBON34","MBON25,MBON34",SMPad3,DAMd1,glutamate,0.464429893621737,,,right,,fw028526,,,isomorphic,,,
81136605414678093,720575940634482783,153328.0,27481.0,2285.0,172744.0,30584.0,4182.0,7336475.0,intrinsic,central,MBON,,20835.0,MBON19,MBON19,DL1_dorsal,CP2_dorsal,acetylcholine,0.9326484486430828,acetylcholine,"Aso et al., 2014 (immuno)",right,,fw028714,FBbt_00111011,,isomorphic,,,
81066305390093306,720575940626109315,152205.0,28362.0,2380.0,173512.0,36664.0,4709.0,7351897.0,intrinsic,central,MBON,,20835.0,MBON19,MBON19,DL1_dorsal,CP2_dorsal,acetylcholine,0.9337114855276184,acetylcholine,"Aso et al., 2014 (immuno)",right,,fw030894,FBbt_00111011,,isomorphic,,,
81277549061481189,720575940626744921,154839.0,31094.0,2349.0,165888.0,35856.0,4703.0,7074779.0,intrinsic,central,MBON,,11777.0,MBON16,MBON16,DL1_dorsal,CP2_dorsal,acetylcholine,0.9080095361230622,acetylcholine; acetylcholine,"Aso et al., 2014 (immuno); Aso et al., 2019 (scRNA-seq)",right,,fw032606,FBbt_00111063,,isomorphic,,,
81136880426764424,720575940623464316,153275.0,31962.0,3298.0,166568.0,42224.0,4780.0,7084553.0,intrinsic,central,MBON,,,MBON24,MBON24,putative_primary,putative_primary,acetylcholine,0.6563293697001429,,,right,,fw033039,FBbt_00049844,outlier_seg,isomorphic,,,
81277617781167541,720575940614892182,155365.0,31567.0,2500.0,170376.0,38136.0,4848.0,7076473.0,intrinsic,central,MBON,,11777.0,MBON28,MBON28,DL1_dorsal,CP2_dorsal,acetylcholine,0.9178249971917364,,,right,,fw033299,FBbt_00049848,,isomorphic,,,
81137979736901319,720575940621777391,153150.0,47901.0,1654.0,161944.0,50584.0,4693.0,6846074.0,intrinsic,central,MBON,,,MBON21,MBON21,putative_primary,putative_primary,acetylcholine,0.7924860472753913,,,right,,fw034104,FBbt_00111046,,isomorphic,,,
81136880426735755,720575940606953858,153180.0,31914.0,3298.0,162952.0,31896.0,4345.0,6712214.0,intrinsic,central,MBON,,20835.0,MBON23,MBON23,DL1_dorsal,CP2_dorsal,acetylcholine,0.93731364801171,,,right,,fw034186,FBbt_00049113,,isomorphic,,,
80082242348953693,720575940635063135,138020.0,44752.0,1312.0,162360.0,49792.0,4844.0,6846161.0,intrinsic,central,MBON,,,MBON22,MBON22,putative_primary,putative_primary,acetylcholine,0.8661349466660349,,,right,,fw035401,FBbt_00100240,,isomorphic,,,
79943222847625326,720575940626315010,136069.0,70425.0,1542.0,136400.0,72136.0,1474.0,5234206.0,intrinsic,central,MBON,,12726.0,MBON13,MBON13,FLAa2,BAmas1,acetylcholine,0.8988361997917121,acetylcholine,"Aso et al., 2014 (immuno)",right,,fw036128,FBbt_00100239,,isomorphic,,,
80925980016963911,720575940632943277,149453.0,35106.0,885.0,138248.0,35200.0,623.0,4977638.0,intrinsic,central,MBON,,,MBON35,MBON35,putative_primary,putative_primary,acetylcholine,0.8977037060845999,,,right,,fw036282,FBbt_00049855,,isomorphic,,,
80434292093847745,720575940628783363,142328.0,48256.0,459.0,142328.0,48256.0,459.0,5714366.0,intrinsic,central,MBON,,12859.0,MBON07,MBON07,putative_primary,putative_primary,glutamate,0.4805109834311056,glutamate; glutamate,"Aso et al., 2014 (immuno); Aso et al., 2019 (scRNA-seq)",right,,fw036342,FBbt_00111005,,isomorphic,,,
