pre,post,weight
720575940628734376,720575940619245016,230
720575940617749538,720575940617691170,81
720575940626744921,720575940632107335,53
720575940612455338,720575940619245016,42
720575940614892182,720575940632107335,40
720575940617760257,720575940632107335,33
720575940617552340,720575940625926693,31
720575940622093436,720575940619245016,30
720575940638028607,720575940626878460,21
720575940639697827,720575940618943389,21
720575940614026193,720575940618943389,20
720575940626315010,720575940623082665,20
720575940606953858,720575940626878460,19
720575940606953858,720575940620423533,18
720575940606953858,720575940638163940,18
720575940638028607,720575940623082665,18
720575940608304220,720575940632107335,17
720575940639556467,720575940631758393,16
720575940617552340,720575940626878460,16
720575940628734376,720575940626135122,15
720575940622093436,720575940631758393,15
720575940632943277,720575940615750562,15
720575940638028607,720575940620423533,15
720575940622997453,720575940623082665,15
720575940629585602,720575940631758393,14
720575940617749538,720575940618943389,14
720575940611344078,720575940625926693,14
720575940634822751,720575940632107335,14
720575940612455338,720575940617691170,14
720575940637934308,720575940617691170,13
720575940615221811,720575940631758393,13
720575940636992368,720575940616312949,13
720575940610647416,720575940631758393,13
720575940622093436,720575940632107335,13
720575940624280328,720575940625926693,13
720575940617749538,720575940620488513,13
720575940630864847,720575940617691170,13
720575940612196850,720575940622944403,12
720575940617749538,720575940628743362,12
720575940612455338,720575940632107335,12
720575940630864847,720575940615750562,12
720575940638028607,720575940638163940,12
720575940622093436,720575940631844492,12
720575940621777391,720575940617691170,12
720575940647328900,720575940631758393,12
720575940624280328,720575940620341931,11
720575940638028607,720575940624661031,11
720575940610964946,720575940617691170,11
720575940622093436,720575940622944403,11
720575940632943277,720575940634640023,10
720575940638028607,720575940620576238,10
720575940608304220,720575940625926693,10
720575940623905719,720575940631758393,10
720575940636992368,720575940630446329,10
720575940611344078,720575940617691170,10
720575940638028607,720575940608186498,9
720575940623381956,720575940639358579,9
720575940606953858,720575940620576238,9
720575940628734376,720575940648330105,9
720575940626315010,720575940632107335,9
720575940610964946,720575940615750562,9
720575940623905719,720575940619245016,9
720575940623001480,720575940631758393,9
720575940637934308,720575940635779959,9
720575940607155890,720575940619245016,8
720575940622997453,720575940632107335,8
720575940632943277,720575940630397527,8
720575940608304220,720575940623082665,8
720575940622093436,720575940614677810,8
720575940612455338,720575940631758393,8
720575940637934308,720575940631758393,8
720575940617749538,720575940630318951,8
720575940632943277,720575940604861356,8
720575940612196850,720575940633541857,7
720575940636992368,720575940612857878,7
720575940612455338,720575940636461710,7
720575940637934308,720575940633541857,7
720575940617552340,720575940638163940,7
720575940617552340,720575940625615248,7
720575940619810389,720575940617691170,7
720575940612196850,720575940632107335,7
720575940637934308,720575940644747828,7
720575940624489964,720575940617691170,7
720575940628734376,720575940630777631,7
720575940607155890,720575940632344290,7
720575940607155890,720575940633541857,7
