pre,post,weight
720575940637934308,720575940628734376,205
720575940630496374,720575940637934308,181
720575940630864847,720575940621777391,141
720575940636992368,720575940607155890,141
720575940610964946,720575940621777391,137
720575940617749538,720575940643700640,112
720575940630864847,720575940637934308,101
720575940610964946,720575940637934308,100
720575940630864847,720575940635063135,96
720575940617552340,720575940614026193,92
720575940610964946,720575940635063135,88
720575940637934308,720575940618249797,83
720575940621777391,720575940607155890,83
720575940610964946,720575940624590316,82
720575940637934308,720575940607155890,81
720575940617552340,720575940639697827,79
720575940637934308,720575940638028607,76
720575940638028607,720575940617552340,67
720575940630864847,720575940624590316,64
720575940643700640,720575940628734376,60
720575940638526278,720575940607155890,59
720575940628783363,720575940623381956,57
720575940624590316,720575940610964946,56
720575940614026193,720575940639697827,53
720575940617749538,720575940614026193,50
720575940617749538,720575940623381956,48
720575940617749538,720575940628783363,48
720575940617749538,720575940639697827,46
720575940623381956,720575940628783363,45
720575940639697827,720575940614026193,43
720575940632943277,720575940624280328,41
720575940624590316,720575940630864847,40
720575940611344078,720575940617749538,39
720575940617749538,720575940617552340,39
720575940628734376,720575940624590316,39
720575940630864847,720575940610964946,38
720575940617552340,720575940617760257,37
720575940610964946,720575940624117245,37
720575940617749538,720575940624590316,34
720575940610964946,720575940630864847,34
720575940630864847,720575940611344078,33
720575940610964946,720575940611344078,32
720575940623001480,720575940637934308,32
720575940623905719,720575940637934308,31
720575940630864847,720575940624117245,30
720575940643700640,720575940618249797,30
720575940630496374,720575940624117245,30
720575940624590316,720575940628734376,28
720575940622997453,720575940606953858,28
720575940621777391,720575940611344078,27
720575940635063135,720575940623464316,26
720575940623001480,720575940611344078,25
720575940606953858,720575940622997453,25
720575940623905719,720575940611344078,24
720575940626315010,720575940622997453,24
720575940626315010,720575940614892182,23
720575940617552340,720575940623381956,23
720575940623905719,720575940623464316,22
720575940617552340,720575940626315010,22
720575940630496374,720575940627144069,21
720575940626744921,720575940617760257,21
720575940617552340,720575940617749538,21
720575940617552340,720575940628783363,20
720575940606953858,720575940623464316,20
720575940614026193,720575940628783363,19
720575940614892182,720575940626744921,18
720575940614026193,720575940623381956,17
720575940617749538,720575940637934308,17
720575940623001480,720575940612455338,17
720575940614026193,720575940626109315,16
720575940638028607,720575940617749538,16
720575940643700640,720575940607155890,16
720575940623905719,720575940612455338,15
720575940638526278,720575940618249797,15
720575940626315010,720575940623464316,15
720575940617749538,720575940623464316,15
720575940626315010,720575940608304220,15
720575940628734376,720575940630496374,15
720575940626744921,720575940614892182,14
720575940626315010,720575940634822751,14
720575940623905719,720575940622093436,14
720575940624117245,720575940630496374,14
720575940630496374,720575940624489964,14
720575940630496374,720575940619810389,14
720575940617749538,720575940638028607,13
720575940639697827,720575940626109315,13
720575940637934308,720575940623464316,13
720575940614892182,720575940617760257,13
720575940621777391,720575940618249797,13
720575940617760257,720575940626744921,12
720575940626315010,720575940606953858,12
720575940636992368,720575940623905719,12
720575940617749538,720575940622997453,12
720575940623001480,720575940636992368,11
720575940637934308,720575940643700640,11
720575940630496374,720575940628734376,11
720575940626744921,720575940634822751,11
720575940624489964,720575940611344078,11
720575940632943277,720575940638526278,10
720575940623905719,720575940623001480,10
720575940612196850,720575940636992368,10
720575940623001480,720575940614892182,10
720575940623905719,720575940614892182,10
720575940623001480,720575940622093436,10
720575940634482783,720575940626109315,10
720575940614026193,720575940634482783,10
720575940626315010,720575940639556467,9
720575940626315010,720575940617552340,9
720575940623464316,720575940617552340,9
720575940637934308,720575940617749538,9
720575940618249797,720575940607155890,9
720575940617749538,720575940635063135,9
720575940623001480,720575940629585602,9
720575940624117245,720575940628734376,9
720575940626315010,720575940622093436,8
720575940610964946,720575940638028607,8
720575940623905719,720575940629585602,8
720575940623905719,720575940647328900,8
720575940617749538,720575940634822751,8
720575940617552340,720575940623464316,8
720575940624590316,720575940626315010,8
720575940636992368,720575940623001480,8
720575940623905719,720575940636992368,8
720575940638526278,720575940636992368,8
720575940624117245,720575940624590316,8
720575940623905719,720575940610647416,8
720575940623001480,720575940623464316,8
720575940608304220,720575940636992368,7
720575940639697827,720575940634482783,7
720575940617749538,720575940624117245,7
720575940639697827,720575940628783363,7
720575940623001480,720575940647328900,7
720575940636992368,720575940638526278,7
720575940623001480,720575940610647416,7
720575940623905719,720575940612196850,7
720575940623001480,720575940612196850,7
720575940635063135,720575940628734376,7
720575940626315010,720575940612196850,7
720575940626315010,720575940615221811,7
720575940607155890,720575940636992368,7
720575940626315010,720575940634482783,7
720575940630864847,720575940617552340,7
720575940630864847,720575940638028607,7
720575940634822751,720575940626744921,6
720575940607155890,720575940618249797,6
720575940630864847,720575940628734376,6
720575940626315010,720575940612455338,6
720575940623905719,720575940626315010,6
720575940617760257,720575940606953858,6
720575940623001480,720575940615221811,6
720575940610647416,720575940607155890,6
720575940639697827,720575940623381956,6
720575940634482783,720575940614026193,6
720575940623001480,720575940606953858,6
720575940638526278,720575940623905719,5
720575940617760257,720575940634822751,5
720575940624590316,720575940623001480,5
720575940634482783,720575940639697827,5
720575940637934308,720575940623001480,5
720575940617552340,720575940626744921,5
720575940622997453,720575940617760257,4
720575940626744921,720575940608304220,4
720575940607155890,720575940623464316,4
720575940607155890,720575940611344078,4
720575940626744921,720575940622997453,4
720575940630496374,720575940610964946,4
720575940623001480,720575940608304220,4
720575940617749538,720575940606953858,4
720575940630496374,720575940630864847,4
720575940617749538,720575940628734376,4
720575940636992368,720575940618249797,4
720575940617749538,720575940607155890,4
720575940629585602,720575940607155890,4
720575940623001480,720575940643700640,4
720575940637934308,720575940638526278,4
720575940637934308,720575940630864847,4
720575940617760257,720575940608304220,4
720575940637934308,720575940611344078,4
720575940617552340,720575940610647416,4
720575940617749538,720575940617760257,4
720575940638526278,720575940637934308,4
720575940638526278,720575940632943277,4
720575940618249797,720575940636992368,4
720575940614026193,720575940617552340,4
720575940638526278,720575940623001480,4
720575940617749538,720575940614892182,4
720575940634822751,720575940617760257,4
720575940617749538,720575940626744921,3
720575940617552340,720575940624590316,3
720575940623905719,720575940634822751,3
720575940608304220,720575940612196850,3
720575940623905719,720575940608304220,3
720575940615221811,720575940607155890,3
720575940636992368,720575940612196850,3
720575940637934308,720575940630496374,3
720575940637934308,720575940623905719,3
720575940611344078,720575940637934308,3
720575940634482783,720575940606953858,3
720575940637934308,720575940621777391,3
720575940617552340,720575940630864847,3
720575940617552340,720575940622093436,3
720575940639697827,720575940617552340,3
720575940623905719,720575940639556467,3
720575940623905719,720575940638526278,3
720575940623001480,720575940623905719,3
720575940608304220,720575940626315010,3
720575940626315010,720575940636992368,3
720575940614892182,720575940634822751,3
720575940621777391,720575940643700640,3
720575940626109315,720575940634482783,3
720575940626315010,720575940623001480,3
720575940635063135,720575940607155890,3
720575940635063135,720575940614892182,3
720575940626315010,720575940629585602,3
720575940632943277,720575940637934308,3
720575940621777391,720575940628734376,3
720575940622997453,720575940626744921,3
720575940622997453,720575940626109315,3
720575940621777391,720575940637934308,2
720575940628734376,720575940629585602,2
720575940607155890,720575940615221811,2
720575940628734376,720575940637934308,2
720575940626315010,720575940623905719,2
720575940626315010,720575940610647416,2
720575940632943277,720575940621777391,2
720575940628783363,720575940639697827,2
720575940624489964,720575940621777391,2
720575940607155890,720575940638526278,2
720575940607155890,720575940624280328,2
720575940638028607,720575940637934308,2
720575940608304220,720575940622093436,2
720575940617552340,720575940612455338,2
720575940617749538,720575940611344078,2
720575940608304220,720575940623001480,2
720575940618249797,720575940638526278,2
720575940619810389,720575940611344078,2
720575940622093436,720575940647328900,2
720575940624280328,720575940632943277,2
720575940634482783,720575940617760257,2
720575940634822751,720575940626315010,2
720575940612196850,720575940608304220,2
720575940617552340,720575940634822751,2
720575940617552340,720575940638028607,2
720575940617552340,720575940636992368,2
720575940617552340,720575940629585602,2
720575940627144069,720575940619810389,2
720575940636992368,720575940629585602,2
720575940617552340,720575940623905719,2
720575940636992368,720575940626315010,2
720575940636992368,720575940624280328,2
720575940624590316,720575940623905719,2
720575940624590316,720575940617552340,2
720575940639697827,720575940623464316,2
720575940624117245,720575940636992368,2
720575940639556467,720575940647328900,2
720575940639556467,720575940610964946,2
720575940637934308,720575940610964946,2
720575940608304220,720575940634822751,2
720575940624117245,720575940607155890,2
720575940624117245,720575940630864847,2
720575940637934308,720575940624590316,2
720575940643700640,720575940621777391,2
720575940611344078,720575940632943277,2
720575940643700640,720575940617749538,2
720575940643700640,720575940637934308,2
720575940611344078,720575940636992368,2
720575940611344078,720575940638526278,2
720575940643700640,720575940638028607,2
720575940623001480,720575940632943277,2
720575940623001480,720575940626315010,2
720575940606953858,720575940634482783,1
720575940607155890,720575940612455338,1
720575940607155890,720575940610647416,1
720575940606953858,720575940626109315,1
720575940606953858,720575940623381956,1
720575940607155890,720575940623905719,1
720575940607155890,720575940624590316,1
720575940607155890,720575940629585602,1
720575940638028607,720575940610964946,1
720575940638028607,720575940628734376,1
720575940614892182,720575940612196850,1
720575940614892182,720575940608304220,1
720575940610964946,720575940628734376,1
720575940614892182,720575940617552340,1
720575940610964946,720575940617552340,1
720575940607155890,720575940639556467,1
720575940623381956,720575940639697827,1
720575940623381956,720575940622997453,1
720575940623464316,720575940617749538,1
720575940626109315,720575940606953858,1
720575940626109315,720575940614026193,1
720575940624489964,720575940627144069,1
720575940623464316,720575940622997453,1
720575940622997453,720575940623464316,1
720575940623381956,720575940617749538,1
720575940622997453,720575940638028607,1
720575940622997453,720575940639697827,1
720575940622997453,720575940634482783,1
720575940622997453,720575940634822751,1
720575940626315010,720575940626109315,1
720575940626109315,720575940634822751,1
720575940626109315,720575940639697827,1
720575940626315010,720575940647328900,1
720575940626744921,720575940606953858,1
720575940632943277,720575940623001480,1
720575940630864847,720575940630496374,1
720575940635063135,720575940630864847,1
720575940635063135,720575940610964946,1
720575940635063135,720575940612455338,1
720575940632943277,720575940636992368,1
720575940621777391,720575940612196850,1
720575940628734376,720575940636992368,1
720575940621777391,720575940622093436,1
720575940628734376,720575940638028607,1
720575940628783363,720575940617749538,1
720575940628783363,720575940617552340,1
720575940628734376,720575940643700640,1
720575940621777391,720575940623464316,1
720575940624280328,720575940636992368,1
720575940624280328,720575940638526278,1
720575940624280328,720575940623001480,1
720575940624590316,720575940617749538,1
720575940624280328,720575940611344078,1
720575940630496374,720575940638028607,1
720575940627144069,720575940611344078,1
720575940617760257,720575940626109315,1
720575940617760257,720575940614892182,1
720575940617760257,720575940622997453,1
720575940618249797,720575940621777391,1
720575940617749538,720575940619810389,1
720575940617749538,720575940623905719,1
720575940617749538,720575940630496374,1
720575940617749538,720575940634482783,1
720575940623905719,720575940643700640,1
720575940623905719,720575940615221811,1
720575940623905719,720575940626109315,1
720575940623905719,720575940624280328,1
720575940624117245,720575940610964946,1
720575940624117245,720575940615221811,1
720575940622093436,720575940623464316,1
720575940622093436,720575940623905719,1
720575940622093436,720575940629585602,1
720575940623001480,720575940607155890,1
720575940618249797,720575940639556467,1
720575940622093436,720575940612455338,1
720575940623001480,720575940634822751,1
720575940623001480,720575940638526278,1
720575940623905719,720575940606953858,1
720575940623001480,720575940617749538,1
720575940623001480,720575940624117245,1
720575940623001480,720575940626109315,1
720575940612196850,720575940626315010,1
720575940612196850,720575940623001480,1
720575940612196850,720575940623464316,1
720575940612196850,720575940614892182,1
720575940612196850,720575940607155890,1
720575940612455338,720575940623001480,1
720575940612455338,720575940617552340,1
720575940612455338,720575940623464316,1
720575940611344078,720575940618249797,1
720575940611344078,720575940623905719,1
720575940617552340,720575940622997453,1
720575940614026193,720575940623464316,1
720575940615221811,720575940629585602,1
720575940615221811,720575940623001480,1
720575940617552340,720575940606953858,1
720575940610647416,720575940647328900,1
720575940636992368,720575940639556467,1
720575940636992368,720575940647328900,1
720575940634822751,720575940612455338,1
720575940634482783,720575940634822751,1
720575940634822751,720575940614892182,1
720575940634482783,720575940626315010,1
720575940636992368,720575940612455338,1
720575940636992368,720575940615221811,1
720575940636992368,720575940611344078,1
720575940634822751,720575940622997453,1
720575940636992368,720575940608304220,1
720575940647328900,720575940623905719,1
720575940647328900,720575940607155890,1
720575940608304220,720575940617760257,1
720575940610647416,720575940629585602,1
720575940608304220,720575940623905719,1
720575940608304220,720575940626744921,1
720575940639556467,720575940607155890,1
720575940639556467,720575940615221811,1
