root_id,hemibrain_type,glomerulus
720575940621529435,DC1_adPN,DC1
720575940639080765,DL5_adPN,DL5
720575940637628762,DM2_lPN,DM2
720575940638624189,DM2_lPN,DM2
720575940630549370,DM3_adPN,DM3
720575940640835672,DM3_vPN,DM3
720575940642492576,DM5_lPN,DM5
720575940613864401,DM5_lPN,DM5
720575940629301248,V_l2PN,V
720575940632868563,VA5_lPN,VA5
720575940621333696,VA5_lPN,VA5
720575940633499548,VA5_lPN,VA5
720575940621533985,VC3l_adPN,VC3
720575940630895055,VC3m_lvPN,VC3
720575940621316033,VC3l_adPN,VC3
720575940607439964,VC3l_adPN,VC3
720575940623945404,VC3l_adPN,VC3
720575940631054634,VC3m_lvPN,VC3
720575940609447179,VC4_adPN,VC4
720575940626986885,VC4_adPN,VC4
720575940607687260,VM2_adPN,VM2
720575940619280705,VM2_adPN,VM2
720575940617917760,VM3_adPN,VM3
720575940616566133,VM3_adPN,VM3
720575940629279544,VM5d_adPN,VM5d
720575940616020795,VM5d_adPN,VM5d
720575940606649865,VM5d_adPN,VM5d
720575940634325087,VM5d_adPN,VM5d
720575940639121571,VM5d_adPN,VM5d
