pre,post,weight
720575940621529435,720575940626742866,61
720575940619280705,720575940629978666,41
720575940607687260,720575940607351747,41
720575940639080765,720575940614283006,40
720575940638624189,720575940617093533,39
720575940607687260,720575940618184839,36
720575940621333696,720575940639688611,35
720575940634325087,720575940627908624,35
720575940630549370,720575940627043666,35
720575940638624189,720575940608774776,35
720575940607687260,720575940629236242,34
720575940633499548,720575940618436672,34
720575940621529435,720575940617436305,34
720575940621529435,720575940632930458,33
720575940630549370,720575940636447630,33
720575940639080765,720575940646034740,33
720575940637628762,720575940619863174,32
720575940621529435,720575940605627057,32
720575940607439964,720575940627568646,32
720575940630549370,720575940627263162,32
720575940621529435,720575940619055969,32
720575940607439964,720575940622451273,32
720575940637628762,720575940617911360,32
720575940629279544,720575940621845018,32
720575940638624189,720575940618894246,32
720575940621529435,720575940617873984,32
720575940619280705,720575940617845076,32
720575940631054634,720575940630436603,31
720575940621529435,720575940605488416,31
720575940630549370,720575940629236242,31
720575940617917760,720575940632582807,31
720575940609447179,720575940619630207,30
720575940621529435,720575940615927197,30
720575940621529435,720575940633056467,30
720575940619280705,720575940637118174,30
720575940638624189,720575940621882401,30
720575940637628762,720575940629502506,30
720575940638624189,720575940622335112,30
720575940609447179,720575940621763767,29
720575940637628762,720575940604766153,29
720575940638624189,720575940628291407,29
720575940637628762,720575940629236242,29
720575940639080765,720575940612590754,29
720575940619280705,720575940647714425,29
720575940626986885,720575940630471695,29
720575940613864401,720575940625329029,29
720575940606649865,720575940624516339,29
720575940637628762,720575940618876062,29
720575940638624189,720575940621391636,29
720575940630549370,720575940619977566,29
720575940642492576,720575940622637804,28
720575940609447179,720575940606893186,28
720575940637628762,720575940629834796,28
720575940637628762,720575940630612620,28
720575940606649865,720575940629855340,28
720575940621529435,720575940628269391,28
720575940637628762,720575940630547916,28
720575940638624189,720575940627687940,28
720575940607687260,720575940625156901,28
720575940634325087,720575940608345867,28
720575940619280705,720575940623358645,28
720575940607687260,720575940626510211,28
720575940621529435,720575940646229283,28
720575940630895055,720575940615356347,28
720575940629279544,720575940611450134,28
720575940637628762,720575940620955149,28
720575940606649865,720575940630733137,28
720575940630549370,720575940622637804,28
720575940607687260,720575940631801401,28
720575940637628762,720575940628695414,27
720575940637628762,720575940613941042,27
720575940629279544,720575940631868999,27
720575940639080765,720575940634878047,27
720575940609447179,720575940618258742,27
720575940621529435,720575940615346363,27
720575940638624189,720575940613248479,27
720575940638624189,720575940607337923,27
720575940630549370,720575940624754983,27
720575940631054634,720575940626220830,27
720575940626986885,720575940634836671,27
720575940639121571,720575940620474582,27
720575940621533985,720575940629834796,27
720575940609447179,720575940625741455,27
720575940609447179,720575940616588683,27
720575940621529435,720575940608801749,27
720575940629279544,720575940624494996,27
720575940621529435,720575940627550214,27
720575940630549370,720575940633516980,27
720575940607439964,720575940633710105,27
720575940637628762,720575940630906029,27
720575940630549370,720575940620811073,26
720575940621333696,720575940623010253,26
720575940606649865,720575940613156067,26
720575940630549370,720575940645759523,26
720575940621529435,720575940614772383,26
720575940634325087,720575940619038061,26
720575940626986885,720575940615344315,26
720575940607687260,720575940618422592,26
