pre,post,weight
720575940619245016,720575940632107335,11
720575940631745367,720575940617691170,11
720575940617691170,720575940631745367,10
720575940621861637,720575940617691170,8
720575940619245016,720575940612857878,4
720575940617691170,720575940620341931,4
720575940617691170,720575940610430254,4
720575940625931266,720575940607287561,3
720575940625926693,720575940646852660,3
720575940618943389,720575940639358579,3
720575940625926693,720575940619676224,3
720575940620423533,720575940624661031,3
720575940619245016,720575940625926693,3
720575940619245016,720575940631758393,3
720575940619245016,720575940617691170,3
720575940619917248,720575940632107335,3
720575940619245016,720575940630166267,3
720575940618943389,720575940614629799,3
720575940619676224,720575940625926693,3
720575940628708139,720575940630794703,3
720575940618943389,720575940631745367,3
720575940617691170,720575940619402576,3
720575940616682838,720575940619917248,3
720575940606196098,720575940639358579,3
720575940632344290,720575940632107335,3
720575940638163940,720575940624661031,3
720575940630794703,720575940628708139,2
720575940625931266,720575940624317419,2
720575940624317419,720575940625931266,2
720575940613338152,720575940637928164,2
720575940621284446,720575940631198776,2
720575940626135122,720575940630446329,2
720575940617691170,720575940649675897,2
720575940617691170,720575940647165828,2
720575940617691170,720575940622701808,2
720575940637928164,720575940635356316,2
720575940646852660,720575940615405718,2
720575940630777631,720575940620922790,2
720575940622338269,720575940617242841,2
720575940639077283,720575940628708139,2
720575940620576238,720575940626878460,2
720575940620576238,720575940638163940,2
720575940646852660,720575940625926693,2
720575940619245016,720575940608442633,2
720575940619245016,720575940620390822,2
720575940630076887,720575940619402576,2
720575940619245016,720575940628743362,2
720575940619245016,720575940619676224,2
720575940619245016,720575940619506993,2
720575940630868271,720575940639358579,2
720575940619245016,720575940644146724,2
720575940619245016,720575940621082996,2
720575940610430254,720575940621085622,2
720575940619245016,720575940624442564,2
720575940619506993,720575940626455326,2
720575940624661031,720575940620576238,2
720575940624661031,720575940628996455,2
720575940619245016,720575940614677810,2
720575940619245016,720575940627644584,2
720575940631758393,720575940617691170,2
720575940628996455,720575940617691170,2
720575940648330105,720575940630166267,2
720575940627390507,720575940614677810,2
720575940631745367,720575940631443304,2
720575940605221065,720575940630691159,2
720575940629579836,720575940624859725,2
720575940629579836,720575940625615248,2
720575940632344290,720575940620922790,2
720575940612857878,720575940627194501,2
720575940644146724,720575940620423533,2
720575940629579836,720575940620390822,2
720575940639358579,720575940622701808,2
720575940621861637,720575940620423533,2
720575940635356316,720575940620390822,2
720575940626878460,720575940650745977,2
720575940626455326,720575940608442633,2
720575940616682838,720575940619506993,2
720575940650745977,720575940620423533,2
720575940638163940,720575940620576238,1
720575940638163940,720575940621861637,1
720575940638163940,720575940639358579,1
720575940637672425,720575940637928164,1
720575940637672425,720575940614629799,1
720575940637672425,720575940620576238,1
720575940639358579,720575940653360289,1
720575940642603464,720575940611918578,1
720575940642603464,720575940630076887,1
720575940642603464,720575940649675897,1
720575940639358579,720575940617691170,1
720575940632344290,720575940620812865,1
720575940632344290,720575940626135122,1
720575940632344290,720575940608071435,1
720575940630446329,720575940626135122,1
720575940630446329,720575940621900321,1
720575940630446329,720575940619917248,1
720575940631443304,720575940629564286,1
720575940635356316,720575940637928164,1
720575940635356316,720575940631198776,1
720575940637390302,720575940633832628,1
720575940605113376,720575940631745367,1
720575940605113376,720575940643950190,1
720575940605113376,720575940628836412,1
720575940607511900,720575940620488513,1
720575940607511900,720575940619506993,1
720575940607511900,720575940615682246,1
720575940605113376,720575940620341931,1
720575940653360289,720575940614293485,1
720575940653360289,720575940622701808,1
720575940650745977,720575940626878460,1
720575940653360289,720575940639358579,1
720575940653360289,720575940634953079,1
720575940614293485,720575940606196098,1
720575940607511900,720575940624317419,1
720575940614629799,720575940638163940,1
720575940614629799,720575940620423533,1
720575940614629799,720575940624661031,1
720575940607511900,720575940630318951,1
720575940607511900,720575940630166267,1
720575940612857878,720575940619245016,1
720575940612857878,720575940617242841,1
720575940644146724,720575940650745977,1
720575940644146724,720575940638163940,1
720575940646288419,720575940626455326,1
720575940646288419,720575940620488513,1
720575940646288419,720575940619506993,1
720575940644146724,720575940617691170,1
720575940644146724,720575940620576238,1
720575940647165828,720575940622338269,1
720575940650745977,720575940620576238,1
720575940618943389,720575940626071482,1
720575940618943389,720575940608186498,1
720575940614677810,720575940630536441,1
720575940625615248,720575940634652523,1
720575940618943389,720575940646288419,1
720575940626455326,720575940626135122,1
720575940626455326,720575940630166267,1
720575940626455326,720575940616682838,1
720575940626455326,720575940616312949,1
720575940618943389,720575940627644584,1
720575940618943389,720575940628996455,1
720575940640747864,720575940637928164,1
720575940646852660,720575940618943389,1
720575940610523746,720575940624859725,1
720575940614677810,720575940617691170,1
720575940635779959,720575940648330105,1
720575940635779959,720575940627110931,1
720575940635779959,720575940624742414,1
720575940634953079,720575940630868271,1
720575940620390822,720575940640747864,1
720575940620390822,720575940637928164,1
720575940615682246,720575940632344290,1
720575940625615248,720575940621284446,1
720575940625615248,720575940613338152,1
720575940649649785,720575940630794703,1
720575940606196098,720575940614293485,1
720575940606196098,720575940608186498,1
720575940606196098,720575940644146724,1
720575940615682246,720575940619245016,1
720575940626878460,720575940621861637,1
720575940626878460,720575940624661031,1
720575940626878460,720575940620576238,1
720575940626455326,720575940633515490,1
720575940626878460,720575940614629799,1
720575940626555800,720575940633832628,1
720575940631198776,720575940614629799,1
720575940631198776,720575940629579836,1
720575940630650063,720575940634655851,1
720575940630650063,720575940605221065,1
720575940624859725,720575940634652523,1
720575940624859725,720575940631017258,1
720575940622100774,720575940617691170,1
720575940622100774,720575940624859725,1
720575940625926693,720575940620423533,1
720575940619676224,720575940646852660,1
720575940619676224,720575940632107335,1
720575940621216982,720575940658674049,1
720575940621900321,720575940619506993,1
720575940621900321,720575940616682838,1
720575940620576238,720575940624661031,1
720575940620576238,720575940621861637,1
720575940631745367,720575940644747828,1
720575940631745367,720575940658674049,1
720575940631745367,720575940633832628,1
720575940631844492,720575940620938150,1
720575940631844492,720575940636461710,1
720575940631844492,720575940633541857,1
720575940630777631,720575940632107335,1
720575940630777631,720575940634652523,1
720575940630777631,720575940616312949,1
720575940631745367,720575940614677810,1
720575940631745367,720575940615750562,1
720575940631745367,720575940619245016,1
720575940633541857,720575940630446329,1
720575940639077283,720575940622944403,1
720575940639077283,720575940620497217,1
720575940639077283,720575940630794703,1
720575940638940469,720575940641509595,1
720575940638940469,720575940632344290,1
720575940632107335,720575940632344290,1
720575940632107335,720575940637390302,1
720575940625926693,720575940638940469,1
720575940625926693,720575940638163940,1
720575940625926693,720575940632107335,1
720575940626300444,720575940639077283,1
720575940628708139,720575940622495092,1
720575940628708139,720575940621082996,1
720575940627390507,720575940649675897,1
720575940630498811,720575940620497217,1
720575940627194501,720575940623398524,1
720575940627194501,720575940627644584,1
720575940649675897,720575940630397527,1
720575940649675897,720575940617242841,1
720575940636659886,720575940620497217,1
720575940633832628,720575940617903643,1
720575940610430254,720575940605280201,1
720575940610430254,720575940617242841,1
720575940610430254,720575940617691170,1
720575940610430254,720575940619823536,1
720575940631758393,720575940619676224,1
720575940617691170,720575940644747828,1
720575940617691170,720575940643950190,1
720575940617691170,720575940630076887,1
720575940617691170,720575940631576903,1
720575940617691170,720575940630446329,1
720575940620812865,720575940632344290,1
720575940620812865,720575940643542688,1
720575940620812865,720575940630996684,1
720575940621082996,720575940618910075,1
720575940621082996,720575940616682838,1
720575940620938150,720575940631844492,1
720575940620938150,720575940622944403,1
720575940620938150,720575940633541857,1
720575940620488513,720575940628743362,1
720575940620488513,720575940627644584,1
720575940620488513,720575940616312949,1
720575940620812865,720575940619506993,1
720575940620488513,720575940630777631,1
720575940617691170,720575940614677810,1
720575940617691170,720575940617242841,1
720575940618910075,720575940630794703,1
720575940617903643,720575940630794703,1
720575940617691170,720575940618943389,1
720575940617691170,720575940624442564,1
720575940617691170,720575940627390507,1
720575940617691170,720575940621861637,1
720575940620423533,720575940644146724,1
720575940620423533,720575940637672425,1
720575940620497217,720575940623979593,1
720575940620341931,720575940643950190,1
720575940619245016,720575940626878460,1
720575940619245016,720575940624661031,1
720575940619245016,720575940626135122,1
720575940619245016,720575940626455326,1
720575940619245016,720575940637672425,1
720575940619245016,720575940635779959,1
720575940619245016,720575940638163940,1
720575940619245016,720575940630794703,1
720575940619245016,720575940630498811,1
720575940619245016,720575940633142498,1
720575940619245016,720575940633515490,1
720575940619245016,720575940616682838,1
720575940619245016,720575940607511900,1
720575940619245016,720575940607287561,1
720575940619245016,720575940605280201,1
720575940619245016,720575940612643954,1
720575940619245016,720575940612623474,1
720575940619245016,720575940621085622,1
720575940619245016,720575940623082665,1
720575940619245016,720575940622944403,1
720575940619245016,720575940622495092,1
720575940619245016,720575940619301185,1
720575940619245016,720575940618943389,1
720575940619245016,720575940620497217,1
720575940619917248,720575940630318951,1
720575940619917248,720575940619506993,1
720575940619245016,720575940650745977,1
720575940619301185,720575940619245016,1
720575940619506993,720575940646288419,1
720575940619506993,720575940638940469,1
720575940619506993,720575940616682838,1
720575940630166267,720575940648330105,1
720575940630868271,720575940622701808,1
720575940630166267,720575940620488513,1
720575940630166267,720575940625931266,1
720575940630166267,720575940628743362,1
720575940630166267,720575940615682246,1
720575940630166267,720575940608442633,1
720575940631222841,720575940627110931,1
720575940631758393,720575940606909826,1
720575940623082665,720575940632107335,1
720575940624442564,720575940628996455,1
720575940628836412,720575940617242841,1
720575940628996455,720575940614629799,1
720575940628836412,720575940620341931,1
720575940629564286,720575940617903643,1
720575940628996455,720575940624661031,1
720575940628996455,720575940621861637,1
720575940629564286,720575940613647007,1
720575940624661031,720575940620423533,1
720575940624661031,720575940624442564,1
720575940624661031,720575940638163940,1
720575940628836412,720575940611918578,1
720575940644747828,720575940612755618,1
720575940644747828,720575940622338269,1
720575940648330105,720575940607511900,1
720575940648330105,720575940607287561,1
720575940644747828,720575940627194501,1
720575940644747828,720575940628836412,1
720575940658674049,720575940630076887,1
720575940605280201,720575940617903643,1
720575940648330105,720575940630318951,1
720575940648330105,720575940638940469,1
720575940625931266,720575940621900321,1
720575940624317419,720575940648330105,1
720575940625931266,720575940608442633,1
720575940626071482,720575940629579836,1
720575940625931266,720575940630166267,1
720575940624317419,720575940608442633,1
720575940624317419,720575940616682838,1
720575940624317419,720575940616312949,1
720575940623979593,720575940630650063,1
720575940623979593,720575940628609127,1
720575940624317419,720575940630318951,1
720575940624317419,720575940619506993,1
720575940631017258,720575940631198776,1
720575940631576903,720575940608071435,1
720575940631017258,720575940613338152,1
720575940631017258,720575940620390822,1
720575940631576903,720575940612755618,1
720575940626135122,720575940620922790,1
720575940626071482,720575940637928164,1
720575940630794703,720575940649649785,1
720575940630794703,720575940634475119,1
720575940626135122,720575940632107335,1
720575940626135122,720575940646288419,1
720575940622701808,720575940618943389,1
720575940621861637,720575940634953079,1
720575940621861637,720575940639358579,1
720575940619402576,720575940631222841,1
720575940621861637,720575940628996455,1
720575940621861637,720575940624661031,1
720575940629579836,720575940622100774,1
720575940629579836,720575940641509595,1
720575940627644584,720575940612623474,1
720575940627644584,720575940610430254,1
720575940627644584,720575940631576903,1
720575940608071435,720575940631576903,1
720575940608071435,720575940617691170,1
720575940608071435,720575940620341931,1
720575940608071435,720575940642603464,1
720575940605280201,720575940658674049,1
720575940607287561,720575940607511900,1
720575940607287561,720575940624317419,1
720575940607287561,720575940630318951,1
720575940617145561,720575940605221065,1
720575940617242841,720575940631576903,1
720575940617242841,720575940630498811,1
720575940616682838,720575940608442633,1
720575940616682838,720575940607287561,1
720575940616682838,720575940625931266,1
720575940616682838,720575940621082996,1
720575940633515490,720575940626455326,1
720575940633515490,720575940608442633,1
720575940634475119,720575940617903643,1
720575940634475119,720575940625926693,1
720575940633515490,720575940630318951,1
720575940633515490,720575940630166267,1
720575940633515490,720575940628743362,1
720575940633515490,720575940648330105,1
720575940630318951,720575940648330105,1
720575940637109214,720575940626071482,1
720575940637109214,720575940631198776,1
720575940637109214,720575940622100774,1
720575940636461710,720575940637390302,1
720575940636461710,720575940636659886,1
720575940637928164,720575940641509595,1
720575940637928164,720575940635789431,1
720575940637928164,720575940634652523,1
720575940639684696,720575940636309093,1
720575940637928164,720575940613338152,1
720575940635789431,720575940630166267,1
720575940635789431,720575940629579836,1
720575940636461710,720575940631844492,1
720575940636309093,720575940633142498,1
720575940636461710,720575940619245016,1
720575940630318951,720575940626455326,1
720575940622495092,720575940620497217,1
720575940622338269,720575940631745367,1
720575940630318951,720575940607287561,1
720575940624742414,720575940635779959,1
720575940624406986,720575940620812865,1
720575940624406986,720575940632107335,1
720575940624406986,720575940630996684,1
720575940627110931,720575940617242841,1
720575940616312949,720575940625931266,1
720575940616312949,720575940608442633,1
720575940616312949,720575940607287561,1
720575940616312949,720575940616682838,1
720575940613647007,720575940637391582,1
720575940613647007,720575940634475119,1
720575940621284446,720575940641509595,1
720575940619823536,720575940631576903,1
720575940619823536,720575940623398524,1
720575940620922790,720575940632107335,1
720575940620922790,720575940632344290,1
720575940621085622,720575940608071435,1
720575940620922790,720575940621900321,1
720575940608442633,720575940633515490,1
720575940608442633,720575940616682838,1
720575940612643954,720575940607287561,1
720575940611918578,720575940647165828,1
720575940643950190,720575940608071435,1
720575940641509595,720575940624859725,1
720575940612755618,720575940631576903,1
720575940613338152,720575940620390822,1
720575940610181496,720575940616643924,1
720575940612755618,720575940621085622,1
720575940610181496,720575940631758393,1
