pre,post,weight
720575940628996455,720575940632437331,9
720575940644146724,720575940649022841,8
720575940619676224,720575940624293048,7
720575940619676224,720575940628076038,7
720575940619676224,720575940632003409,7
720575940644146724,720575940610580377,7
720575940621861637,720575940624107755,7
720575940621861637,720575940621606755,7
720575940612755618,720575940639684515,7
720575940621861637,720575940619897734,7
720575940646288419,720575940632098375,7
720575940631758393,720575940606892674,6
720575940628996455,720575940617478427,6
720575940628996455,720575940649022841,6
720575940628996455,720575940630949187,6
720575940624317419,720575940614862230,6
720575940628996455,720575940621762330,6
720575940631758393,720575940621121140,6
720575940618943389,720575940620303040,6
720575940621861637,720575940618341952,6
720575940644146724,720575940634664674,6
720575940644146724,720575940643769544,6
720575940614629799,720575940620700769,6
720575940621861637,720575940643769544,6
720575940621861637,720575940617478427,6
720575940646288419,720575940614614203,6
720575940646288419,720575940621413670,6
720575940614629799,720575940627085578,6
720575940644146724,720575940617750173,5
720575940646288419,720575940637316029,5
720575940621861637,720575940644413732,5
720575940642603464,720575940613797295,5
720575940621861637,720575940612767126,5
720575940630076887,720575940639684515,5
720575940631758393,720575940620424641,5
720575940631758393,720575940608532675,5
720575940631758393,720575940628651792,5
720575940631758393,720575940628725455,5
720575940631758393,720575940621839086,5
720575940631758393,720575940625454640,5
720575940628996455,720575940629507706,5
720575940626455326,720575940613738415,5
720575940631758393,720575940617427713,5
720575940631758393,720575940621947486,5
720575940624661031,720575940618662939,5
720575940631758393,720575940620521754,5
720575940631758393,720575940617077405,5
720575940631758393,720575940640646864,5
720575940626455326,720575940614229415,5
720575940626455326,720575940623377555,5
720575940626455326,720575940613727399,5
720575940626455326,720575940622732493,5
720575940626455326,720575940630430495,5
720575940624317419,720575940621802751,5
720575940618943389,720575940637211462,5
720575940614629799,720575940608191836,5
720575940621861637,720575940627085578,5
720575940607511900,720575940622864920,5
720575940646288419,720575940634296951,5
720575940646288419,720575940632558675,5
720575940644146724,720575940626043454,5
720575940618943389,720575940632718291,5
720575940618943389,720575940644413732,5
720575940618943389,720575940625768073,5
720575940618943389,720575940632930458,5
720575940618943389,720575940606891221,5
720575940621861637,720575940625328915,5
720575940644146724,720575940629507706,5
720575940621861637,720575940619077217,5
720575940621861637,720575940621925417,5
720575940646288419,720575940621878021,5
720575940646288419,720575940631388231,5
720575940607511900,720575940630411259,4
720575940644146724,720575940619684688,4
720575940646288419,720575940613738415,4
720575940621861637,720575940609371086,4
720575940644146724,720575940629319106,4
720575940630446329,720575940626874097,4
720575940630446329,720575940612763542,4
720575940646288419,720575940638053865,4
720575940614629799,720575940629507706,4
720575940621861637,720575940608191836,4
720575940607511900,720575940614890902,4
720575940644146724,720575940625500304,4
720575940646288419,720575940630300613,4
720575940653360289,720575940630573260,4
720575940607511900,720575940628257914,4
720575940632107335,720575940612019570,4
720575940621861637,720575940628826873,4
720575940618943389,720575940620333958,4
720575940626455326,720575940626901278,4
720575940626455326,720575940619271384,4
720575940626455326,720575940609220291,4
720575940626455326,720575940623986469,4
720575940626455326,720575940620020769,4
720575940626455326,720575940620020257,4
720575940626455326,720575940608505795,4
720575940614629799,720575940607054770,4
720575940616682838,720575940626124743,4
720575940621861637,720575940631967575,4
720575940621861637,720575940628514156,4
720575940607511900,720575940659940225,4
720575940621861637,720575940610580377,4
720575940621861637,720575940615671494,4
720575940607511900,720575940608655918,4
720575940637672425,720575940625328915,4
720575940607511900,720575940615072373,4
720575940644146724,720575940612767126,4
720575940631758393,720575940631062603,4
720575940619917248,720575940603747616,4
720575940631758393,720575940631754527,4
720575940628996455,720575940625500304,4
720575940631758393,720575940621863006,4
720575940631758393,720575940627165010,4
720575940631758393,720575940633402082,4
720575940631758393,720575940628447491,4
720575940619917248,720575940621878021,4
720575940624661031,720575940615196063,4
720575940624661031,720575940625500304,4
720575940631758393,720575940609694818,4
720575940631758393,720575940645236078,4
720575940616312949,720575940615780353,4
720575940618943389,720575940612765846,4
720575940624661031,720575940621606755,4
720575940616312949,720575940628694991,4
720575940631758393,720575940620520513,4
720575940631758393,720575940630651223,4
720575940628996455,720575940621770010,4
720575940625931266,720575940612758934,4
720575940624317419,720575940630180935,4
720575940624317419,720575940620495830,4
720575940648330105,720575940629541187,4
720575940607287561,720575940632210145,4
720575940648330105,720575940615798540,4
720575940625931266,720575940632229788,4
720575940624661031,720575940610580377,4
720575940631758393,720575940633034336,4
720575940619917248,720575940632528671,4
720575940631758393,720575940612606673,4
720575940631758393,720575940624421148,4
720575940631758393,720575940637746520,4
720575940631758393,720575940620230497,4
720575940631758393,720575940629010331,4
720575940631758393,720575940625940456,4
720575940631758393,720575940617769217,4
720575940631758393,720575940629162693,4
720575940624661031,720575940627585028,4
720575940631758393,720575940629814060,4
720575940631758393,720575940632229788,4
720575940631758393,720575940613213151,4
720575940631758393,720575940625600048,4
720575940631758393,720575940628138246,4
720575940631758393,720575940621288225,4
720575940631758393,720575940615323990,4
720575940628996455,720575940634969701,4
720575940619917248,720575940613776543,4
720575940631758393,720575940611946482,4
720575940624661031,720575940622836455,4
720575940631758393,720575940621491696,4
720575940630777631,720575940649228665,4
720575940618943389,720575940610147826,4
720575940618943389,720575940617734603,4
720575940618943389,720575940621507475,4
720575940619917248,720575940622350472,4
720575940631758393,720575940630176047,4
720575940631758393,720575940624271716,4
720575940624661031,720575940621925417,4
720575940620488513,720575940639727861,4
720575940630996684,720575940620521754,4
720575940630318951,720575940653332385,4
720575940619676224,720575940614037811,4
720575940619917248,720575940625002526,4
720575940618943389,720575940616052625,4
720575940618943389,720575940625024125,4
720575940618943389,720575940606483467,4
720575940618943389,720575940615134918,4
720575940619676224,720575940633710105,4
720575940631758393,720575940627573659,4
720575940618943389,720575940630415268,4
720575940618943389,720575940630385403,4
720575940623082665,720575940603084972,4
720575940619917248,720575940631782712,4
720575940631758393,720575940632465945,4
720575940624661031,720575940633103059,4
720575940631758393,720575940632481363,4
720575940631758393,720575940615072373,4
720575940631758393,720575940630432932,4
720575940618943389,720575940619090785,3
720575940630777631,720575940610773171,3
720575940618943389,720575940635150990,3
720575940618943389,720575940647714425,3
720575940618943389,720575940615651014,3
720575940630777631,720575940606783362,3
720575940630777631,720575940613929670,3
720575940620576238,720575940620413355,3
720575940618943389,720575940634800282,3
720575940619676224,720575940612352423,3
720575940624859725,720575940625290003,3
720575940618943389,720575940622815684,3
720575940630777631,720575940621460645,3
720575940630777631,720575940621538431,3
720575940630777631,720575940621594723,3
720575940630777631,720575940622145277,3
720575940618943389,720575940623023544,3
720575940618943389,720575940607804939,3
720575940618943389,720575940628012332,3
720575940632107335,720575940622428087,3
720575940618943389,720575940628060983,3
720575940619676224,720575940631453763,3
720575940618943389,720575940626510211,3
720575940618943389,720575940615728102,3
720575940618943389,720575940617478427,3
720575940619676224,720575940629788012,3
720575940619676224,720575940612740466,3
720575940632107335,720575940620410606,3
720575940626135122,720575940618657334,3
720575940648330105,720575940625600048,3
720575940624317419,720575940630159939,3
720575940612755618,720575940612151538,3
720575940626135122,720575940618326292,3
720575940620922790,720575940628800762,3
720575940644747828,720575940616578646,3
720575940620922790,720575940614313996,3
720575940644747828,720575940614283006,3
720575940626135122,720575940633224555,3
720575940616312949,720575940637055797,3
720575940624317419,720575940624676414,3
720575940616312949,720575940613017059,3
720575940624317419,720575940603174368,3
720575940632107335,720575940613737647,3
720575940632107335,720575940613954769,3
720575940618943389,720575940619060321,3
720575940618943389,720575940622784611,3
720575940639077283,720575940613738415,3
720575940618943389,720575940630456996,3
720575940632107335,720575940614862230,3
720575940624317419,720575940631879193,3
720575940608186498,720575940612767126,3
720575940620922790,720575940620996621,3
720575940626135122,720575940620577652,3
720575940624317419,720575940629010331,3
720575940625931266,720575940637222470,3
720575940626135122,720575940636045175,3
720575940613338152,720575940627292218,3
720575940620922790,720575940623965513,3
720575940648330105,720575940634296951,3
720575940624317419,720575940638561102,3
720575940624317419,720575940613213151,3
720575940626135122,720575940621878021,3
720575940624317419,720575940629388239,3
720575940658674049,720575940624465900,3
720575940625931266,720575940615255090,3
720575940648330105,720575940642383520,3
720575940624317419,720575940612606673,3
720575940626135122,720575940622075274,3
720575940616312949,720575940612758934,3
720575940624317419,720575940615072373,3
720575940624317419,720575940615066335,3
720575940624317419,720575940625499153,3
720575940620922790,720575940624574922,3
720575940624317419,720575940618183559,3
720575940626135122,720575940629765647,3
720575940625931266,720575940604489649,3
720575940648330105,720575940623252164,3
720575940625931266,720575940611110468,3
720575940625931266,720575940611453107,3
720575940626135122,720575940629233145,3
720575940616312949,720575940615066335,3
720575940624317419,720575940639727861,3
720575940631017258,720575940630413087,3
720575940637391582,720575940620603245,3
720575940612755618,720575940632357984,3
720575940624317419,720575940626550504,3
720575940624317419,720575940643497632,3
720575940616312949,720575940631620921,3
720575940626135122,720575940628608272,3
720575940607287561,720575940624660313,3
720575940626135122,720575940638626613,3
720575940618943389,720575940611045700,3
720575940618943389,720575940625732496,3
720575940625926693,720575940623986469,3
720575940618943389,720575940632583831,3
720575940624859725,720575940609684946,3
720575940618943389,720575940617982800,3
720575940632107335,720575940612740886,3
720575940628743362,720575940630411259,3
720575940618943389,720575940632068383,3
720575940618943389,720575940614861974,3
720575940618943389,720575940626792778,3
720575940628743362,720575940628103806,3
720575940618943389,720575940644609134,3
720575940618943389,720575940632164269,3
720575940618943389,720575940632233628,3
720575940618943389,720575940616647990,3
720575940618943389,720575940636488878,3
720575940632107335,720575940659940225,3
720575940618943389,720575940614899851,3
720575940618943389,720575940617090082,3
720575940632107335,720575940610669786,3
720575940619676224,720575940606893186,3
720575940618943389,720575940612668018,3
720575940618943389,720575940630269660,3
720575940619676224,720575940615243020,3
720575940618943389,720575940612728466,3
720575940618943389,720575940618544623,3
720575940618943389,720575940617021441,3
720575940618943389,720575940612572670,3
720575940618943389,720575940633004383,3
720575940618943389,720575940627630154,3
720575940618943389,720575940613272799,3
720575940618943389,720575940616887966,3
720575940618943389,720575940618334145,3
720575940631758393,720575940618765528,3
720575940623082665,720575940618662939,3
720575940631758393,720575940628257914,3
720575940623082665,720575940617878080,3
720575940620423533,720575940626906142,3
720575940623082665,720575940620520513,3
720575940623082665,720575940636146409,3
720575940631758393,720575940622542517,3
720575940619917248,720575940629036997,3
720575940623082665,720575940620051580,3
720575940631758393,720575940610990821,3
720575940623082665,720575940635953343,3
720575940623082665,720575940619254448,3
720575940623082665,720575940617478427,3
720575940631758393,720575940621864965,3
720575940631758393,720575940652799649,3
720575940631758393,720575940627245701,3
720575940631758393,720575940627089930,3
720575940631758393,720575940646609028,3
720575940631758393,720575940615569723,3
720575940631758393,720575940618148406,3
720575940630076887,720575940634468463,3
720575940631758393,720575940618306112,3
720575940631758393,720575940628071409,3
720575940620497217,720575940638626613,3
720575940631758393,720575940622075274,3
720575940631758393,720575940622067113,3
720575940631758393,720575940618470383,3
720575940631758393,720575940615768693,3
720575940623082665,720575940634800282,3
720575940619301185,720575940638995005,3
720575940631758393,720575940659940225,3
720575940631758393,720575940627493141,3
720575940631758393,720575940630047080,3
720575940631758393,720575940630269404,3
720575940631758393,720575940630219567,3
720575940631758393,720575940623191334,3
720575940628996455,720575940610580377,3
720575940631758393,720575940630159939,3
720575940623082665,720575940630525967,3
720575940631758393,720575940623102396,3
720575940619917248,720575940618306112,3
720575940623082665,720575940630415268,3
720575940631758393,720575940629951292,3
720575940631758393,720575940629949751,3
720575940631758393,720575940623030015,3
720575940631758393,720575940608286556,3
720575940628996455,720575940631485251,3
720575940631758393,720575940630671890,3
720575940623082665,720575940627185767,3
720575940631758393,720575940630477305,3
720575940631758393,720575940630475513,3
720575940628996455,720575940618341952,3
720575940631758393,720575940608524483,3
720575940631758393,720575940629895484,3
720575940631758393,720575940606963586,3
720575940631758393,720575940615974493,3
720575940631758393,720575940629397079,3
720575940631758393,720575940604999526,3
720575940631758393,720575940629347791,3
720575940631758393,720575940622800653,3
720575940628996455,720575940630923693,3
720575940631758393,720575940629300043,3
720575940631758393,720575940629270060,3
720575940631758393,720575940612747158,3
720575940631758393,720575940612758934,3
720575940643542688,720575940626904561,3
720575940631758393,720575940622979475,3
720575940623082665,720575940637211462,3
720575940631758393,720575940629563006,3
720575940631758393,720575940629502506,3
720575940631758393,720575940626904561,3
720575940628996455,720575940622836455,3
720575940631758393,720575940618131505,3
720575940631758393,720575940614869387,3
720575940631758393,720575940614862230,3
720575940624661031,720575940615671494,3
720575940619917248,720575940634800759,3
720575940631758393,720575940613258975,3
720575940623082665,720575940625732496,3
720575940631758393,720575940624663427,3
720575940624661031,720575940612767126,3
720575940631758393,720575940632725459,3
720575940631758393,720575940620422494,3
720575940631758393,720575940624989214,3
720575940623082665,720575940653332385,3
720575940631758393,720575940620344837,3
720575940610430254,720575940624487572,3
720575940631758393,720575940619834965,3
720575940631758393,720575940624159376,3
720575940623082665,720575940606579465,3
720575940631758393,720575940623914954,3
720575940631758393,720575940631019468,3
720575940630868271,720575940625702949,3
720575940631758393,720575940632536780,3
720575940631758393,720575940632077127,3
720575940619917248,720575940620996621,3
720575940631758393,720575940632371737,3
720575940631758393,720575940632197935,3
720575940631758393,720575940620020257,3
720575940631758393,720575940614770847,3
720575940631758393,720575940624487572,3
720575940631758393,720575940619842580,3
720575940631758393,720575940611943976,3
720575940624661031,720575940608191836,3
720575940631758393,720575940616746123,3
720575940623082665,720575940644946211,3
720575940631758393,720575940641355739,3
720575940631758393,720575940641084405,3
720575940631758393,720575940626513171,3
720575940631758393,720575940626403400,3
720575940631758393,720575940639986048,3
720575940631758393,720575940641362907,3
720575940631758393,720575940617866048,3
720575940631758393,720575940621553535,3
720575940631758393,720575940621163636,3
720575940631758393,720575940643497632,3
720575940631758393,720575940644843031,3
720575940623082665,720575940614229758,3
720575940631758393,720575940626834762,3
720575940631758393,720575940644607854,3
720575940623082665,720575940613954769,3
720575940631758393,720575940642383520,3
720575940631758393,720575940642162573,3
720575940631758393,720575940626640158,3
720575940631758393,720575940612450730,3
720575940631758393,720575940626548234,3
720575940631758393,720575940626536714,3
720575940631758393,720575940625646876,3
720575940631758393,720575940620813478,3
720575940623082665,720575940611343054,3
720575940631758393,720575940625506704,3
720575940623082665,720575940611987240,3
720575940631758393,720575940636640602,3
720575940631758393,720575940615066335,3
720575940631758393,720575940615019231,3
720575940631758393,720575940639202532,3
720575940631758393,720575940639172560,3
720575940623082665,720575940624800188,3
720575940630076887,720575940629922166,3
720575940631758393,720575940617756450,3
720575940619917248,720575940638662352,3
720575940624661031,720575940625126448,3
720575940631758393,720575940621017840,3
720575940631758393,720575940617514726,3
720575940631758393,720575940615193100,3
720575940631758393,720575940625724072,3
720575940619676224,720575940617436305,3
720575940618943389,720575940627085578,3
720575940618943389,720575940628574715,3
720575940619676224,720575940630868013,3
720575940618943389,720575940619668212,3
720575940618943389,720575940621606755,3
720575940630777631,720575940630411535,3
720575940621900321,720575940636114239,3
720575940618943389,720575940626668304,3
720575940619676224,720575940613774334,3
720575940619676224,720575940617908820,3
720575940618943389,720575940636375653,3
720575940630777631,720575940630067255,3
720575940632107335,720575940625476964,3
720575940646582836,720575940619967879,3
720575940637672425,720575940618341952,3
720575940616682838,720575940630180935,3
720575940646582836,720575940620411841,3
720575940607511900,720575940626901278,3
720575940644146724,720575940627626244,3
720575940630446329,720575940609163986,3
720575940646288419,720575940624086251,3
720575940642603464,720575940639684515,3
720575940621861637,720575940633226603,3
720575940644146724,720575940634969701,3
720575940630446329,720575940659577217,3
720575940646288419,720575940623252164,3
720575940632107335,720575940624149256,3
720575940618943389,720575940628309186,3
720575940621900321,720575940630399995,3
720575940607511900,720575940626733693,3
720575940630318951,720575940643830126,3
720575940617691170,720575940618266900,3
720575940620812865,720575940629504554,3
720575940616682838,720575940625667365,3
720575940621861637,720575940634914552,3
720575940644146724,720575940632366623,3
720575940614629799,720575940626043454,3
720575940607511900,720575940617077405,3
720575940637928164,720575940620124028,3
720575940617691170,720575940621658502,3
720575940620488513,720575940633565154,3
720575940624406986,720575940633034336,3
720575940622338269,720575940642328736,3
720575940627110931,720575940620682934,3
720575940633515490,720575940643830126,3
