pre,post,weight
720575940617691170,720575940617749538,263
720575940626878460,720575940638028607,120
720575940618943389,720575940639697827,95
720575940638163940,720575940638028607,89
720575940618943389,720575940614026193,86
720575940631758393,720575940636992368,84
720575940620423533,720575940638028607,75
720575940623082665,720575940626315010,73
720575940620576238,720575940638028607,65
720575940619245016,720575940628734376,61
720575940632107335,720575940626744921,59
720575940624661031,720575940638028607,57
720575940619917248,720575940607155890,57
720575940631758393,720575940623905719,52
720575940631758393,720575940638526278,50
720575940644146724,720575940638028607,49
720575940631758393,720575940623001480,46
720575940634953079,720575940623381956,44
720575940632344290,720575940607155890,44
720575940634953079,720575940628783363,42
720575940623082665,720575940622997453,41
720575940631758393,720575940632943277,38
720575940639358579,720575940628783363,37
720575940620922790,720575940607155890,35
720575940639358579,720575940623381956,35
720575940630868271,720575940628783363,35
720575940606196098,720575940623381956,34
720575940632107335,720575940614892182,33
720575940630868271,720575940623381956,33
720575940624317419,720575940624590316,29
720575940632107335,720575940617760257,28
720575940607287561,720575940624590316,28
720575940630446329,720575940607155890,25
720575940616312949,720575940624590316,25
720575940608186498,720575940623381956,23
720575940653360289,720575940623381956,23
720575940622701808,720575940628783363,23
720575940622701808,720575940623381956,23
720575940606196098,720575940628783363,22
720575940614629799,720575940638028607,22
720575940616682838,720575940624590316,22
720575940629579836,720575940617552340,22
720575940630777631,720575940607155890,21
720575940626135122,720575940607155890,21
720575940613338152,720575940617552340,21
720575940619245016,720575940607155890,21
720575940648330105,720575940624590316,19
720575940646288419,720575940624590316,18
720575940653360289,720575940628783363,18
720575940621900321,720575940607155890,18
720575940607511900,720575940624590316,18
720575940614293485,720575940628783363,16
720575940626455326,720575940624590316,16
720575940631758393,720575940624280328,16
720575940628996455,720575940638028607,16
720575940608186498,720575940628783363,16
720575940619917248,720575940628734376,16
720575940615682246,720575940607155890,15
720575940642733216,720575940643700640,15
720575940625931266,720575940624590316,15
720575940620922790,720575940628734376,15
720575940620488513,720575940624590316,14
720575940624859725,720575940617552340,13
720575940606909826,720575940618249797,13
720575940630166267,720575940624590316,12
720575940623082665,720575940606953858,12
720575940617242841,720575940607155890,12
720575940635356316,720575940617552340,12
720575940627110931,720575940630496374,12
720575940622338269,720575940630496374,12
720575940631198776,720575940617552340,12
720575940619676224,720575940635063135,12
720575940614293485,720575940623381956,11
720575940612857878,720575940621777391,11
720575940631198776,720575940623464316,11
720575940639358579,720575940638028607,10
720575940620488513,720575940628734376,10
720575940631758393,720575940637934308,10
720575940626135122,720575940628734376,10
720575940648330105,720575940607155890,10
720575940631576903,720575940630496374,10
720575940627390507,720575940610964946,10
720575940605280201,720575940630496374,9
720575940648330105,720575940628734376,9
720575940630318951,720575940624590316,9
720575940623398524,720575940630496374,9
720575940619402576,720575940630496374,9
720575940632344290,720575940628734376,9
720575940630777631,720575940624590316,9
720575940640747864,720575940617552340,9
720575940631745367,720575940632943277,9
720575940642733216,720575940621777391,9
720575940625615248,720575940617552340,8
720575940610181496,720575940630864847,8
720575940631758393,720575940612196850,8
720575940627741799,720575940630864847,8
720575940630446329,720575940624590316,8
720575940621861637,720575940638028607,8
720575940622338269,720575940643700640,8
720575940610523746,720575940617552340,7
720575940649675897,720575940610964946,7
720575940634475119,720575940618249797,7
720575940633515490,720575940624590316,7
720575940630536441,720575940630496374,7
720575940615750562,720575940632943277,7
720575940607511900,720575940628734376,7
720575940616643924,720575940610964946,7
720575940626135122,720575940624590316,7
720575940613647007,720575940618249797,7
720575940612857878,720575940643700640,7
720575940646288419,720575940607155890,7
720575940619917248,720575940624590316,7
720575940633832628,720575940618249797,7
720575940604861356,720575940610964946,7
720575940630397527,720575940610964946,6
720575940626455326,720575940628734376,6
720575940619245016,720575940614892182,6
720575940643542688,720575940610964946,6
720575940619301185,720575940610964946,6
720575940643950190,720575940621777391,6
720575940636461710,720575940610964946,6
720575940608071435,720575940607155890,6
720575940631576903,720575940621777391,6
720575940625343550,720575940610964946,6
720575940636461710,720575940630864847,6
720575940649675897,720575940630864847,6
720575940630076887,720575940621777391,6
720575940619301185,720575940630864847,6
720575940630536441,720575940630864847,6
720575940627194501,720575940621777391,6
720575940627390507,720575940630864847,6
720575940631222841,720575940610964946,6
720575940644747828,720575940621777391,6
720575940630446329,720575940628734376,6
720575940637672425,720575940638028607,6
