pre,post,weight
720575940644413732,720575940621861637,18
720575940606902741,720575940618943389,16
720575940606698697,720575940621861637,15
720575940633552820,720575940618943389,14
720575940613353538,720575940618943389,13
720575940612668018,720575940618943389,13
720575940620333958,720575940621861637,12
720575940619897734,720575940621861637,12
720575940612728466,720575940618943389,11
720575940625023869,720575940618943389,11
720575940609104579,720575940618943389,11
720575940630331244,720575940621861637,11
720575940648235641,720575940618943389,11
720575940627230986,720575940631758393,11
720575940620465996,720575940618943389,10
720575940622784611,720575940618943389,10
720575940628826873,720575940621861637,10
720575940628071409,720575940631758393,10
720575940620126076,720575940631758393,10
720575940606892674,720575940617242841,10
720575940629638211,720575940618943389,10
720575940625560189,720575940618943389,10
720575940632437331,720575940644146724,10
720575940626362696,720575940618943389,10
720575940639158480,720575940631758393,10
720575940607804939,720575940618943389,10
720575940621518218,720575940618943389,10
720575940628045318,720575940621861637,10
720575940618226245,720575940618943389,10
720575940608447241,720575940618943389,10
720575940627085578,720575940621861637,10
720575940660047489,720575940618943389,10
720575940625318163,720575940618943389,10
720575940637580659,720575940618943389,9
720575940609184210,720575940618943389,9
720575940632388138,720575940631758393,9
720575940642010056,720575940618943389,9
720575940619054027,720575940618943389,9
720575940646290979,720575940618943389,9
720575940619781620,720575940618943389,9
720575940619974689,720575940618943389,9
720575940608433476,720575940618943389,9
720575940614132667,720575940618943389,9
720575940610336610,720575940618943389,9
720575940652809377,720575940618943389,9
720575940621005044,720575940618943389,9
720575940630775891,720575940644146724,9
720575940639684515,720575940658674049,9
720575940607054770,720575940621861637,9
720575940632929178,720575940618943389,9
720575940628054839,720575940618943389,9
720575940617708747,720575940618943389,9
720575940626212625,720575940618943389,9
720575940609163986,720575940630446329,9
720575940621762330,720575940621861637,9
720575940630026856,720575940618943389,9
720575940633103059,720575940624661031,9
720575940607715420,720575940618943389,8
720575940628121287,720575940618943389,8
720575940631399978,720575940632107335,8
720575940626792778,720575940618943389,8
720575940618547280,720575940618943389,8
720575940606331996,720575940618943389,8
720575940618341952,720575940621861637,8
720575940606892674,720575940608071435,8
720575940606892674,720575940617691170,8
720575940617612578,720575940618943389,8
720575940625718696,720575940617691170,8
720575940621359142,720575940617691170,8
720575940631575599,720575940618943389,8
720575940612765846,720575940618943389,8
720575940630443791,720575940618943389,8
720575940612765846,720575940644146724,8
720575940617478427,720575940621861637,8
720575940621567472,720575940618943389,8
720575940632068383,720575940618943389,8
720575940638531637,720575940618943389,8
720575940616306210,720575940631758393,8
720575940628269628,720575940618943389,8
720575940628012332,720575940618943389,8
720575940622003316,720575940621861637,8
720575940621606755,720575940621861637,8
720575940638975285,720575940618943389,8
720575940654647457,720575940619917248,8
720575940618980299,720575940618943389,8
720575940628612112,720575940624661031,8
720575940643769544,720575940624661031,8
720575940621475085,720575940608186498,8
720575940627626244,720575940621861637,8
720575940618497216,720575940618943389,8
720575940625692816,720575940618943389,8
720575940649022841,720575940644146724,8
720575940630025788,720575940618943389,8
720575940609371086,720575940621861637,8
720575940626294090,720575940618943389,8
720575940619668212,720575940618943389,8
720575940622803850,720575940618943389,8
720575940637320381,720575940618943389,7
720575940622815684,720575940618943389,7
720575940625015070,720575940618943389,7
720575940637320381,720575940617691170,7
720575940628002822,720575940632107335,7
720575940648246649,720575940631758393,7
720575940608145877,720575940618943389,7
720575940612362663,720575940631758393,7
720575940626305028,720575940624661031,7
720575940626044924,720575940618943389,7
720575940620931750,720575940623082665,7
720575940622965944,720575940618943389,7
720575940621922398,720575940618943389,7
720575940630452388,720575940617691170,7
720575940642022088,720575940632344290,7
720575940618662939,720575940621861637,7
720575940626930947,720575940618943389,7
720575940620413355,720575940618943389,7
720575940628800762,720575940622950605,7
720575940603673120,720575940618943389,7
720575940627244699,720575940618943389,7
720575940630573260,720575940618943389,7
720575940631399978,720575940623082665,7
720575940637148486,720575940631758393,7
720575940630571980,720575940606196098,7
720575940637999950,720575940631758393,7
720575940623691920,720575940618943389,7
720575940628885591,720575940618943389,7
720575940622061803,720575940618943389,7
720575940605167025,720575940632107335,7
720575940614854294,720575940618943389,7
720575940610946070,720575940617691170,7
720575940612337203,720575940617691170,7
720575940648995705,720575940644146724,7
720575940645759523,720575940623082665,7
720575940613507946,720575940632107335,7
720575940622003316,720575940624661031,7
720575940624107706,720575940618943389,7
720575940629211666,720575940618943389,7
720575940629259638,720575940618943389,7
720575940629259638,720575940621861637,7
720575940631661281,720575940631758393,7
720575940631485251,720575940614629799,7
720575940620904780,720575940618943389,7
720575940621925417,720575940621861637,7
720575940634989560,720575940618943389,7
720575940626496275,720575940618943389,7
720575940659536257,720575940621861637,7
720575940619665023,720575940618943389,7
720575940632353499,720575940617691170,7
720575940621554815,720575940631758393,7
720575940617771521,720575940621861637,7
720575940618548975,720575940618943389,7
720575940618306112,720575940632344290,7
